,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,peak,hit
276,0.463,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,0.731,165387,0.469,7mldq42yDuxiUNn08nvzHO,1.04e-06,5,0.103,-7.226,1,0.0326,98.963,4,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,audio_features,spotify:track:7mldq42yDuxiUNn08nvzHO,0.631,Body,62,0
277,0.117,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,0.584,202747,0.7,0PDUDa38GO8lMxLCRc4lL1,0.0,11,0.0939,-4.275,1,0.0456,124.944,4,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,audio_features,spotify:track:0PDUDa38GO8lMxLCRc4lL1,0.438,Pillowtalk,1,1
278,0.0186,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,0.757,251467,0.672,40YcuQysJ0KlGQTeGUosTC,0.0,0,0.158,-6.524,0,0.0955,111.996,4,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,audio_features,spotify:track:40YcuQysJ0KlGQTeGUosTC,0.382,"Me, Myself & I",7,1
279,0.242,https://api.spotify.com/v1/audio-analysis/7KOlJ92bu51cltsD9KU5I7,0.865,242407,0.687,7KOlJ92bu51cltsD9KU5I7,0.0,10,0.158,-3.744,0,0.217,139.023,4,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,audio_features,spotify:track:7KOlJ92bu51cltsD9KU5I7,0.486,T-Shirt,41,0
280,0.351,https://api.spotify.com/v1/audio-analysis/0ycMp5Oi4NYrCQHrFmrR7h,0.656,260293,0.409,0ycMp5Oi4NYrCQHrFmrR7h,0.198,7,0.115,-8.913,1,0.0479,173.898,4,https://api.spotify.com/v1/tracks/0ycMp5Oi4NYrCQHrFmrR7h,audio_features,spotify:track:0ycMp5Oi4NYrCQHrFmrR7h,0.711,Love Make The World Go Round,72,0
281,0.0,https://api.spotify.com/v1/audio-analysis/67iF3DdebmElASIGoebYt1,0.0,73887,2.01e-05,67iF3DdebmElASIGoebYt1,0.0,5,0.0,-15.776,1,0.0,0.0,0,https://api.spotify.com/v1/tracks/67iF3DdebmElASIGoebYt1,audio_features,spotify:track:67iF3DdebmElASIGoebYt1,0.0,Noise,72,0
282,0.356,https://api.spotify.com/v1/audio-analysis/1N7qGCKRRnvjoy8MGyHgpS,0.613,220413,0.667,1N7qGCKRRnvjoy8MGyHgpS,1.29e-05,1,0.111,-6.874,0,0.029,130.023,4,https://api.spotify.com/v1/tracks/1N7qGCKRRnvjoy8MGyHgpS,audio_features,spotify:track:1N7qGCKRRnvjoy8MGyHgpS,0.481,Came Here To Forget,36,0
283,0.00575,https://api.spotify.com/v1/audio-analysis/44TuSOP6xIAEeJmZsN3nXO,0.502,235613,0.966,44TuSOP6xIAEeJmZsN3nXO,1.56e-06,0,0.117,-3.876,1,0.0946,159.948,4,https://api.spotify.com/v1/tracks/44TuSOP6xIAEeJmZsN3nXO,audio_features,spotify:track:44TuSOP6xIAEeJmZsN3nXO,0.638,Bored To Death,85,0
284,0.198,https://api.spotify.com/v1/audio-analysis/0sXvAOmXgjR2QUqLK1MltU,0.736,227707,0.964,0sXvAOmXgjR2QUqLK1MltU,2.32e-06,0,0.336,-2.147,1,0.129,179.935,4,https://api.spotify.com/v1/tracks/0sXvAOmXgjR2QUqLK1MltU,audio_features,spotify:track:0sXvAOmXgjR2QUqLK1MltU,0.953,La Bicicleta,95,0
285,0.135,https://api.spotify.com/v1/audio-analysis/376KnY4TrgBITxjlnbnmIy,0.875,222600,0.673,376KnY4TrgBITxjlnbnmIy,0.0,7,0.292,-4.184,1,0.0932,130.0,4,https://api.spotify.com/v1/tracks/376KnY4TrgBITxjlnbnmIy,audio_features,spotify:track:376KnY4TrgBITxjlnbnmIy,0.231,Cut It,35,0
286,0.192,https://api.spotify.com/v1/audio-analysis/0PJIbOdMs3bd5AT8liULMQ,0.715,238320,0.703,0PJIbOdMs3bd5AT8liULMQ,0.0,5,0.113,-3.825,1,0.0503,119.749,4,https://api.spotify.com/v1/tracks/0PJIbOdMs3bd5AT8liULMQ,audio_features,spotify:track:0PJIbOdMs3bd5AT8liULMQ,0.596,Oui,19,0
287,0.0183,https://api.spotify.com/v1/audio-analysis/2ZyuwVvV6Z3XJaXIFbspeE,0.741,188493,0.627,2ZyuwVvV6Z3XJaXIFbspeE,0.0,1,0.0909,-4.816,0,0.0894,108.016,4,https://api.spotify.com/v1/tracks/2ZyuwVvV6Z3XJaXIFbspeE,audio_features,spotify:track:2ZyuwVvV6Z3XJaXIFbspeE,0.708,Wild Things,50,0
288,0.468,https://api.spotify.com/v1/audio-analysis/1Cj2vqUwlJVG27gJrun92y,0.322,248467,0.28,1Cj2vqUwlJVG27gJrun92y,1.1e-06,6,0.102,-9.367,0,0.0281,85.794,4,https://api.spotify.com/v1/tracks/1Cj2vqUwlJVG27gJrun92y,audio_features,spotify:track:1Cj2vqUwlJVG27gJrun92y,0.175,The Sound Of Silence,42,0
289,0.0157,https://api.spotify.com/v1/audio-analysis/2moTY9zKAZkRsODU4TUXY6,0.576,223265,0.807,2moTY9zKAZkRsODU4TUXY6,0.0,2,0.0338,-4.602,1,0.0454,158.002,4,https://api.spotify.com/v1/tracks/2moTY9zKAZkRsODU4TUXY6,audio_features,spotify:track:2moTY9zKAZkRsODU4TUXY6,0.765,Messin' Around,64,0
290,0.0235,https://api.spotify.com/v1/audio-analysis/4YJmZfvlheSziXem8HBWrj,0.835,189853,0.436,4YJmZfvlheSziXem8HBWrj,0.0,0,0.635,-9.602,1,0.176,133.942,3,https://api.spotify.com/v1/tracks/4YJmZfvlheSziXem8HBWrj,audio_features,spotify:track:4YJmZfvlheSziXem8HBWrj,0.234,Still Here,40,0
291,0.0244,https://api.spotify.com/v1/audio-analysis/5NFYuqu8V6QXc6mzcLImd6,0.789,209413,0.608,5NFYuqu8V6QXc6mzcLImd6,0.0,7,0.368,-8.288,1,0.189,129.958,4,https://api.spotify.com/v1/tracks/5NFYuqu8V6QXc6mzcLImd6,audio_features,spotify:track:5NFYuqu8V6QXc6mzcLImd6,0.271,Hype,33,0
292,0.0581,https://api.spotify.com/v1/audio-analysis/2c8sgbZoEanC3QyFNZxUcA,0.772,218947,0.701,2c8sgbZoEanC3QyFNZxUcA,0.00159,0,0.106,-6.605,0,0.0724,159.954,4,https://api.spotify.com/v1/tracks/2c8sgbZoEanC3QyFNZxUcA,audio_features,spotify:track:2c8sgbZoEanC3QyFNZxUcA,0.69,Flexicution,100,0
293,0.00427,https://api.spotify.com/v1/audio-analysis/10I3CmmwT0BkOVhduDy53o,0.762,232093,0.666,10I3CmmwT0BkOVhduDy53o,0.0,0,0.127,-6.055,1,0.0916,118.97,4,https://api.spotify.com/v1/tracks/10I3CmmwT0BkOVhduDy53o,audio_features,spotify:track:10I3CmmwT0BkOVhduDy53o,0.278,Really Really,46,0
294,0.000937,https://api.spotify.com/v1/audio-analysis/6W9W8dSswA8KNegvl3W97V,0.616,218947,0.893,6W9W8dSswA8KNegvl3W97V,0.0,11,0.111,-3.588,1,0.0375,111.959,4,https://api.spotify.com/v1/tracks/6W9W8dSswA8KNegvl3W97V,audio_features,spotify:track:6W9W8dSswA8KNegvl3W97V,0.567,Think Of You,40,0
295,0.00201,https://api.spotify.com/v1/audio-analysis/5e574bhjycX1eH2l4Auage,0.711,220427,0.441,5e574bhjycX1eH2l4Auage,2.59e-06,1,0.08,-9.516,1,0.466,145.198,4,https://api.spotify.com/v1/tracks/5e574bhjycX1eH2l4Auage,audio_features,spotify:track:5e574bhjycX1eH2l4Auage,0.115,Grammys,38,0
296,0.0269,https://api.spotify.com/v1/audio-analysis/1N3dZ7TTWO6VcD4Y3hHYLZ,0.704,196853,0.604,1N3dZ7TTWO6VcD4Y3hHYLZ,0.0,1,0.0835,-4.865,1,0.0308,115.48,4,https://api.spotify.com/v1/tracks/1N3dZ7TTWO6VcD4Y3hHYLZ,audio_features,spotify:track:1N3dZ7TTWO6VcD4Y3hHYLZ,0.478,Try Everything,63,0
297,0.0661,https://api.spotify.com/v1/audio-analysis/2nBI3iWLhupR7LyAJ5GGkE,0.695,334253,0.777,2nBI3iWLhupR7LyAJ5GGkE,0.0,6,0.874,-2.452,0,0.0817,135.01,4,https://api.spotify.com/v1/tracks/2nBI3iWLhupR7LyAJ5GGkE,audio_features,spotify:track:2nBI3iWLhupR7LyAJ5GGkE,0.36,Champions,71,0
298,0.0722,https://api.spotify.com/v1/audio-analysis/2oaK4JLVnmRGIO9ytBE1bt,0.7,302000,0.742,2oaK4JLVnmRGIO9ytBE1bt,0.0199,5,0.11,-6.777,0,0.0716,91.959,4,https://api.spotify.com/v1/tracks/2oaK4JLVnmRGIO9ytBE1bt,audio_features,spotify:track:2oaK4JLVnmRGIO9ytBE1bt,0.197,Dark Necessities,67,0
299,0.157,https://api.spotify.com/v1/audio-analysis/0wdKiSBUT7aZkXUIdJWcwC,0.895,240000,0.681,0wdKiSBUT7aZkXUIdJWcwC,0.0,7,0.189,-5.267,0,0.358,121.918,4,https://api.spotify.com/v1/tracks/0wdKiSBUT7aZkXUIdJWcwC,audio_features,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,0.554,2 Phones,17,0
300,0.693,https://api.spotify.com/v1/audio-analysis/3Rkk851fZjIsglV2jbBPDd,0.349,257360,0.486,3Rkk851fZjIsglV2jbBPDd,1.73e-06,11,0.122,-7.232,1,0.0289,101.053,3,https://api.spotify.com/v1/tracks/3Rkk851fZjIsglV2jbBPDd,audio_features,spotify:track:3Rkk851fZjIsglV2jbBPDd,0.158,Humble And Kind,30,0
301,0.485,https://api.spotify.com/v1/audio-analysis/1E2qfOtDbT1NPaGQnI3L12,0.373,260667,0.356,1E2qfOtDbT1NPaGQnI3L12,0.0,10,0.165,-9.049,1,0.0454,94.612,3,https://api.spotify.com/v1/tracks/1E2qfOtDbT1NPaGQnI3L12,audio_features,spotify:track:1E2qfOtDbT1NPaGQnI3L12,0.258,What The World Needs Now Is Love,86,0
302,0.000171,https://api.spotify.com/v1/audio-analysis/2I5ao7JannZZMlweLTz0hO,0.494,182720,0.885,2I5ao7JannZZMlweLTz0hO,0.0,10,0.114,-5.725,1,0.0326,75.992,4,https://api.spotify.com/v1/tracks/2I5ao7JannZZMlweLTz0hO,audio_features,spotify:track:2I5ao7JannZZMlweLTz0hO,0.471,Ain't No Stopping Us Now,88,0
303,0.273,https://api.spotify.com/v1/audio-analysis/7bmqcI1HQwx1PWwYyZO0lg,0.618,253080,0.812,7bmqcI1HQwx1PWwYyZO0lg,0.0,3,0.0734,-4.758,0,0.0483,95.093,4,https://api.spotify.com/v1/tracks/7bmqcI1HQwx1PWwYyZO0lg,audio_features,spotify:track:7bmqcI1HQwx1PWwYyZO0lg,0.868,Kiss It Better,62,0
304,0.108,https://api.spotify.com/v1/audio-analysis/43PuMrRfbyyuz4QpZ3oAwN,0.53,194613,0.433,43PuMrRfbyyuz4QpZ3oAwN,0.0,6,0.135,-10.598,1,0.185,160.14,4,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,audio_features,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,0.274,Exchange,26,0
305,0.000598,https://api.spotify.com/v1/audio-analysis/5CG9Ps5ynNjpKJHmwc95pa,0.573,197120,0.635,5CG9Ps5ynNjpKJHmwc95pa,0.0,7,0.0845,-6.621,1,0.0275,144.031,4,https://api.spotify.com/v1/tracks/5CG9Ps5ynNjpKJHmwc95pa,audio_features,spotify:track:5CG9Ps5ynNjpKJHmwc95pa,0.447,Somewhere On A Beach,35,0
306,0.321,https://api.spotify.com/v1/audio-analysis/0B3LaidsxjnBTUlKgKQQe5,0.667,171250,0.492,0B3LaidsxjnBTUlKgKQQe5,0.0,8,0.0744,-8.612,1,0.03,95.976,4,https://api.spotify.com/v1/tracks/0B3LaidsxjnBTUlKgKQQe5,audio_features,spotify:track:0B3LaidsxjnBTUlKgKQQe5,0.796,Sweatshirt,90,0
307,0.496,https://api.spotify.com/v1/audio-analysis/6UsoV6X96Rox9mfxoz7SFy,0.846,197840,0.711,6UsoV6X96Rox9mfxoz7SFy,0.0,0,0.247,-7.939,1,0.061,120.013,4,https://api.spotify.com/v1/tracks/6UsoV6X96Rox9mfxoz7SFy,audio_features,spotify:track:6UsoV6X96Rox9mfxoz7SFy,0.883,With You,47,0
308,0.283,https://api.spotify.com/v1/audio-analysis/5e9aFSdnkQUrm5y8Dhw0qN,0.792,224213,0.563,5e9aFSdnkQUrm5y8Dhw0qN,0.0,1,0.128,-4.838,1,0.0793,133.996,4,https://api.spotify.com/v1/tracks/5e9aFSdnkQUrm5y8Dhw0qN,audio_features,spotify:track:5e9aFSdnkQUrm5y8Dhw0qN,0.288,Might Not,68,0
309,0.0291,https://api.spotify.com/v1/audio-analysis/7gHs73wELdeycvS48JfIos,0.589,212627,0.651,7gHs73wELdeycvS48JfIos,3.2e-06,6,0.111,-5.097,1,0.0306,90.011,4,https://api.spotify.com/v1/tracks/7gHs73wELdeycvS48JfIos,audio_features,spotify:track:7gHs73wELdeycvS48JfIos,0.166,Faded,80,0
310,0.0203,https://api.spotify.com/v1/audio-analysis/0g5EKLgdKvNlln7TNqBByK,0.586,220573,0.701,0g5EKLgdKvNlln7TNqBByK,0.0,1,0.055,-5.326,0,0.0416,104.957,4,https://api.spotify.com/v1/tracks/0g5EKLgdKvNlln7TNqBByK,audio_features,spotify:track:0g5EKLgdKvNlln7TNqBByK,0.254,Middle,20,0
311,0.243,https://api.spotify.com/v1/audio-analysis/1LM5zQv5pBKPyO7rm7Uz6U,0.517,197931,0.743,1LM5zQv5pBKPyO7rm7Uz6U,3.36e-06,9,0.107,-4.336,1,0.0363,76.979,4,https://api.spotify.com/v1/tracks/1LM5zQv5pBKPyO7rm7Uz6U,audio_features,spotify:track:1LM5zQv5pBKPyO7rm7Uz6U,0.664,My Church,50,0
312,0.305,https://api.spotify.com/v1/audio-analysis/7I5fYc4qKJddht8Ozhqqdx,0.687,206507,0.793,7I5fYc4qKJddht8Ozhqqdx,3.23e-06,5,0.1,-3.577,1,0.0333,100.991,4,https://api.spotify.com/v1/tracks/7I5fYc4qKJddht8Ozhqqdx,audio_features,spotify:track:7I5fYc4qKJddht8Ozhqqdx,0.673,Snapback,50,0
313,0.00887,https://api.spotify.com/v1/audio-analysis/4MdQkwmoI9lrUfHGD7wOzy,0.765,170752,0.505,4MdQkwmoI9lrUfHGD7wOzy,1.05e-06,8,0.108,-7.585,0,0.126,135.046,4,https://api.spotify.com/v1/tracks/4MdQkwmoI9lrUfHGD7wOzy,audio_features,spotify:track:4MdQkwmoI9lrUfHGD7wOzy,0.143,Nothing Is Promised,75,0
314,0.0266,https://api.spotify.com/v1/audio-analysis/2MNapHbu7QASoukvVVIxyr,0.394,185413,0.8,2MNapHbu7QASoukvVVIxyr,0.0,4,0.184,-4.17,0,0.0413,162.053,4,https://api.spotify.com/v1/tracks/2MNapHbu7QASoukvVVIxyr,audio_features,spotify:track:2MNapHbu7QASoukvVVIxyr,0.525,Mind Reader,57,0
315,0.596,https://api.spotify.com/v1/audio-analysis/55UTk4jy0ep5B3zLoGcaTc,0.426,212817,0.294,55UTk4jy0ep5B3zLoGcaTc,0.00131,2,0.132,-11.835,1,0.0312,75.228,4,https://api.spotify.com/v1/tracks/55UTk4jy0ep5B3zLoGcaTc,audio_features,spotify:track:55UTk4jy0ep5B3zLoGcaTc,0.141,Formation,10,1
316,0.0319,https://api.spotify.com/v1/audio-analysis/3cjF2OFRmip8spwZYQRKxP,0.589,240653,0.673,3cjF2OFRmip8spwZYQRKxP,5.68e-06,7,0.108,-7.082,1,0.167,193.783,4,https://api.spotify.com/v1/tracks/3cjF2OFRmip8spwZYQRKxP,audio_features,spotify:track:3cjF2OFRmip8spwZYQRKxP,0.209,Feel No Ways,53,0
