"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"83",0.000719,0.506,179840,0.932,0.0594,0.174,-6.11,0,0.11,99.929,0.549,5,4,"0"
"84",0.0189,0.666,221402,0.78,1.01e-06,0.0635,-5.847,1,0.048,154.056,0.923,2,4,"0"
"85",0.555,0.635,217419,0.691,0,0.097,-4.862,1,0.258,82.142,0.638,0,4,"0"
"86",0.0144,0.718,269693,0.67,0,0.0851,-5.236,1,0.227,88.764,0.517,1,4,"0"
"87",0.0269,0.704,196853,0.604,0,0.0835,-4.865,1,0.0308,115.48,0.478,1,4,"0"
"88",0.857,0.407,229400,0.147,2.89e-06,0.0913,-8.822,1,0.0355,141.284,0.0765,2,3,"0"
"89",0.0119,0.632,278627,0.727,7.64e-05,0.0678,-11.209,0,0.0438,124.919,0.499,11,4,"0"
"90",0.254,0.527,269947,0.662,0,0.113,-5.75,1,0.318,171.439,0.121,11,4,"0"
"91",0.104,0.584,232507,0.608,0.000249,0.113,-8.438,1,0.0352,94.976,0.0633,1,4,"0"
"92",0.0545,0.506,204093,0.628,0,0.301,-7.316,1,0.173,191.708,0.556,7,4,"0"
"93",0.302,0.497,203373,0.312,0,0.0968,-9.088,0,0.0269,105.036,0.177,11,4,"0"
"94",0.187,0.881,266067,0.622,0,0.103,-4.149,1,0.215,91.989,0.633,1,4,"0"
"95",0.0795,0.65,211933,0.793,1.3e-05,0.168,-6.083,1,0.185,170.101,0.29,7,4,"0"
"96",0.0296,0.667,175093,0.954,0,0.331,-3.462,1,0.0817,114,0.807,2,4,"0"
"97",0.0305,0.676,203908,0.926,0.000658,0.0771,-2.244,0,0.0425,124.019,0.818,0,4,"0"
"98",0.0283,0.656,197253,0.615,0,0.234,-6.252,1,0.0539,139.91,0.366,5,4,"0"
"99",0.00545,0.645,198853,0.669,0.00138,0.0997,-7.946,0,0.0638,100.052,0.568,0,4,"0"
"100",0.0111,0.596,206567,0.815,0,0.174,-5.668,0,0.0755,165.015,0.459,6,4,"0"
"101",0.4,0.63,225053,0.53,0,0.177,-7.259,1,0.0434,108.038,0.417,0,3,"0"
"102",0.00199,0.54,178927,0.813,2e-04,0.131,-4.043,0,0.031,116.457,0.573,2,4,"0"
"103",0.0515,0.414,197213,0.826,0.000173,0.254,-3.566,1,0.0372,166.055,0.76,5,4,"0"
"104",0.164,0.335,241107,0.625,0,0.0708,-7.462,1,0.0386,150.277,0.346,7,4,"0"
"105",0.0868,0.839,189050,0.902,0.00257,0.272,-3.612,0,0.0536,114.953,0.639,1,4,"0"
"106",0.0487,0.81,270120,0.721,0,0.0886,-4.964,0,0.265,101.997,0.552,9,4,"0"
"107",0.27,0.67,254147,0.348,0,0.104,-12.229,1,0.138,113.306,0.804,0,5,"0"
"108",0.0049,0.539,221387,0.848,0,0.272,-5.081,0,0.0521,124.045,0.387,11,4,"0"
"109",0.112,0.495,267933,0.589,0,0.0688,-4.747,1,0.0274,82.002,0.401,0,4,"0"
"110",0.273,0.587,217839,0.912,0,0.36,-3.735,1,0.0826,160.035,0.874,8,4,"0"
"111",0.331,0.65,216493,0.459,0,0.115,-7.101,0,0.0421,144.013,0.159,0,4,"0"
