,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,peak,hit
98,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.63,222160,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9,0.148,-2.787,0,0.0331,123.963,4,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.465,This Is What You Came For,3,1
99,0.00835,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,0.645,214507,0.713,2Z8WuEywRWYTKe1NybPQEW,0.0,6,0.113,-5.355,1,0.0393,74.989,4,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,audio_features,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.566,Ride,5,1
100,0.107,https://api.spotify.com/v1/audio-analysis/1Tt4sE4pXi57mTD1GCzsqm,0.688,191600,0.325,1Tt4sE4pXi57mTD1GCzsqm,0.0,5,0.0837,-8.083,0,0.251,110.888,4,https://api.spotify.com/v1/tracks/1Tt4sE4pXi57mTD1GCzsqm,audio_features,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,0.275,Needed Me,7,1
101,0.00842,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,0.796,173987,0.61,1zi7xx7UVEFkmKfv06H8x0,0.00286,1,0.351,-5.857,1,0.0516,103.99,4,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,audio_features,spotify:track:1zi7xx7UVEFkmKfv06H8x0,0.391,One Dance,1,1
102,0.181,https://api.spotify.com/v1/audio-analysis/3NJG6vMH1ZsectZkocMEm0,0.597,239853,0.743,3NJG6vMH1ZsectZkocMEm0,0.0,6,0.0796,-3.095,1,0.042,122.798,4,https://api.spotify.com/v1/tracks/3NJG6vMH1ZsectZkocMEm0,audio_features,spotify:track:3NJG6vMH1ZsectZkocMEm0,0.299,Tiimmy Turner,34,0
103,0.0734,https://api.spotify.com/v1/audio-analysis/3y9cCbnBn0zjkJa2YkOj70,0.803,254080,0.585,3y9cCbnBn0zjkJa2YkOj70,2.87e-05,0,0.201,-5.39,1,0.087,146.02,4,https://api.spotify.com/v1/tracks/3y9cCbnBn0zjkJa2YkOj70,audio_features,spotify:track:3y9cCbnBn0zjkJa2YkOj70,0.241,Black Barbies,65,0
104,0.0183,https://api.spotify.com/v1/audio-analysis/00NAQYOP4AmWR549nnYJZu,0.674,265600,0.779,00NAQYOP4AmWR549nnYJZu,7.35e-06,0,0.474,-5.779,1,0.0509,109.933,4,https://api.spotify.com/v1/tracks/00NAQYOP4AmWR549nnYJZu,audio_features,spotify:track:00NAQYOP4AmWR549nnYJZu,0.732,Secrets,47,0
105,0.333,https://api.spotify.com/v1/audio-analysis/4VFE6ZNqa8jHAmbYICoAFg,0.439,183413,0.802,4VFE6ZNqa8jHAmbYICoAFg,0.0,7,0.377,-3.644,1,0.054,168.032,4,https://api.spotify.com/v1/tracks/4VFE6ZNqa8jHAmbYICoAFg,audio_features,spotify:track:4VFE6ZNqa8jHAmbYICoAFg,0.725,Me And Your Mama,68,0
106,0.00413,https://api.spotify.com/v1/audio-analysis/0OI7AFifLSoGzpb8bdBLLV,0.653,202805,0.718,0OI7AFifLSoGzpb8bdBLLV,0.0,3,0.0537,-5.232,0,0.213,82.034,4,https://api.spotify.com/v1/tracks/0OI7AFifLSoGzpb8bdBLLV,audio_features,spotify:track:0OI7AFifLSoGzpb8bdBLLV,0.216,Home,76,0
107,0.299,https://api.spotify.com/v1/audio-analysis/1oGdVdYjeQvojGKDddxLQQ,0.68,206013,0.429,1oGdVdYjeQvojGKDddxLQQ,0.0,1,0.195,-8.297,1,0.218,76.806,4,https://api.spotify.com/v1/tracks/1oGdVdYjeQvojGKDddxLQQ,audio_features,spotify:track:1oGdVdYjeQvojGKDddxLQQ,0.595,True Colors,48,0
